ID,list,case,sex,age,acq_date,condition,stim_nr,stim_category,stim_A,stim_T,AC,TY
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,1,anschmiegen,A_Ansch1_1,T_Ansch1,anschmiegen,3
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,2,anschmiegen,A_Ansch2_1,T_Ansch2,anschmiegen,5
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,3,anschmiegen,A_Ansch3_1,T_Ansch3,anschmiegen,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,4,anzünden,A_Anzue1_2,T_Anzue1,anzünden,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,5,anzünden,A_Anzue2_2,T_Anzue2,anzünden,4
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,6,anzünden,A_Anzue3_2,T_Anzue3,anzünden,3
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,7,aufwachen,A_Aufwa1_3,T_Aufwa1,aufwachen,5
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,8,aufwachen,A_Aufwa2_3,T_Aufwa2,aufwachen,4
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,9,aufwachen,A_Aufwa3_3,T_Aufwa3,verdrehen,3
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,10,einpacken,A_Einpa1_4,T_Einpa1,einpacken,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,11,einpacken,A_Einpa2_4,T_Einpa2,einpacken,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,12,einpacken,A_Einpa3_4,T_Einpa3,einpacken,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,13,einstecken,A_Einst1_5,T_Einst1,verdrehen,2
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,14,einstecken,A_Einst2_5,T_Einst2,verdrehen,1
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,15,einstecken,A_Einst3_5,T_Einst3,einstecken,1
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,16,eintippen,A_Einti1_6,T_Einti1,schreiben,4
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,17,eintippen,A_Einti2_6,T_Einti2,schreiben,3
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,18,eintippen,A_Einti3_6,T_Einti3,eintippen,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,19,eintreten,A_Eintr1_7,T_Eintr1,eintreten,5
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,20,eintreten,A_Eintr2_7,T_Eintr2,eintreten,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,21,eintreten,A_Eintr3_7,T_Eintr3,eintreten,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,22,lernen,A_Lerne1_8,T_Lerne1,eintreten,1
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,23,lernen,A_Lerne2_8,T_Lerne2,eintippen,1
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,24,lernen,A_Lerne3_8,T_Lerne3,lernen,5
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,25,massieren,A_Massi1_9,T_Massi1,massieren,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,26,massieren,A_Massi2_9,T_Massi2,massieren,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,27,massieren,A_Massi3_9,T_Massi3,massieren,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,28,säen,A_Saeen1_10,T_Saeen1,säen,6
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,29,säen,A_Saeen2_10,T_Saeen2,säen,6
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,30,säen,A_Saeen3_10,T_Saeen3,säen,3
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,31,schlagen,A_Schla1_11,T_Schla1,schlagen,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,32,schlagen,A_Schla2_11,T_Schla2,schlagen,4
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,33,schlagen,A_Schla3_11,T_Schla3,schlagen,3
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,34,schreiben,A_Schre1_12,T_Schre1,schreiben,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,35,schreiben,A_Schre2_12,T_Schre2,schreiben,6
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,36,schreiben,A_Schre3_12,T_Schre3,schreiben,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,37,schrubben,A_Schru1_13,T_Schru1,schrubben,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,38,schrubben,A_Schru2_13,T_Schru2,schrubben,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,39,schrubben,A_Schru3_13,T_Schru3,schrubben,6
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,40,tauchen,A_Tauch1_14,T_Tauch1,tauchen,7
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,41,tauchen,A_Tauch2_14,T_Tauch2,tauchen,5
381,1,38,weiblich,18,2021-04-13T22:47:46Z,dynamisch,42,tauchen,A_Tauch3_14,T_Tauch3,tauchen,7
