sid,id,minority,female,ses,mathach,size,catholic,pracad,disclim,himinty,meanses
S1,1224,other,female,-1.528,5.876,842,public,0.35,1.597,0,-0.428
S2,1224,other,female,-0.588,19.708,842,public,0.35,1.597,0,-0.428
S3,1224,other,male,-0.528,20.349,842,public,0.35,1.597,0,-0.428
S4,1224,other,male,-0.668,8.781,842,public,0.35,1.597,0,-0.428
S5,1224,other,male,-0.158,17.898,842,public,0.35,1.597,0,-0.428
S6,1224,other,male,0.022,4.583,842,public,0.35,1.597,0,-0.428
S7,1224,other,female,-0.618,-2.832,842,public,0.35,1.597,0,-0.428
S8,1224,other,male,-0.998,0.523,842,public,0.35,1.597,0,-0.428
S9,1224,other,female,-0.888,1.527,842,public,0.35,1.597,0,-0.428
S10,1224,other,male,-0.458,21.521,842,public,0.35,1.597,0,-0.428
S11,1224,other,female,-1.448,9.475,842,public,0.35,1.597,0,-0.428
S12,1224,other,female,-0.658,16.057,842,public,0.35,1.597,0,-0.428
S13,1224,other,male,-0.468,21.178,842,public,0.35,1.597,0,-0.428
S14,1224,other,female,-0.988,20.178,842,public,0.35,1.597,0,-0.428
S15,1224,other,male,0.332,20.349,842,public,0.35,1.597,0,-0.428
S16,1224,other,female,-0.678,20.508,842,public,0.35,1.597,0,-0.428
S17,1224,other,male,-0.298,19.338,842,public,0.35,1.597,0,-0.428
S18,1224,minority,male,-1.528,4.145,842,public,0.35,1.597,0,-0.428
S19,1224,other,female,0.042,2.927,842,public,0.35,1.597,0,-0.428
S20,1224,other,male,-0.078,16.405,842,public,0.35,1.597,0,-0.428
S21,1224,other,female,0.062,13.653,842,public,0.35,1.597,0,-0.428
S22,1224,other,female,-0.128,6.558,842,public,0.35,1.597,0,-0.428
S23,1224,other,female,0.472,9.653,842,public,0.35,1.597,0,-0.428
S24,1224,other,male,-0.468,3.154,842,public,0.35,1.597,0,-0.428
S25,1224,minority,female,-1.248,4.753,842,public,0.35,1.597,0,-0.428
S26,1224,other,male,-0.628,21.721,842,public,0.35,1.597,0,-0.428
S27,1224,other,female,0.832,5.166,842,public,0.35,1.597,0,-0.428
S28,1224,other,female,-0.568,6.399,842,public,0.35,1.597,0,-0.428
S29,1224,other,female,-0.258,6.821,842,public,0.35,1.597,0,-0.428
S30,1224,other,female,-0.138,9.255,842,public,0.35,1.597,0,-0.428
S31,1224,other,female,-0.478,3.745,842,public,0.35,1.597,0,-0.428
S32,1224,other,female,-0.948,0.858,842,public,0.35,1.597,0,-0.428
S33,1224,other,female,0.282,11.542,842,public,0.35,1.597,0,-0.428
S34,1224,other,female,-0.118,13.255,842,public,0.35,1.597,0,-0.428
S35,1224,other,male,-0.878,10.557,842,public,0.35,1.597,0,-0.428
S36,1224,other,male,-0.938,0.868,842,public,0.35,1.597,0,-0.428
S37,1224,other,male,-0.548,8.296,842,public,0.35,1.597,0,-0.428
S38,1224,minority,male,0.142,-1.688,842,public,0.35,1.597,0,-0.428
S39,1224,other,female,0.972,2.059,842,public,0.35,1.597,0,-0.428
S40,1224,other,male,0.372,6.714,842,public,0.35,1.597,0,-0.428
S41,1224,minority,male,-1.658,0.122,842,public,0.35,1.597,0,-0.428
S42,1224,other,female,-1.068,2.381,842,public,0.35,1.597,0,-0.428
S43,1224,other,female,-0.248,16.336,842,public,0.35,1.597,0,-0.428
S44,1224,other,female,-1.398,6.134,842,public,0.35,1.597,0,-0.428
S45,1224,other,female,0.752,23.584,842,public,0.35,1.597,0,-0.428
S46,1224,other,female,0.012,14.053,842,public,0.35,1.597,0,-0.428
S47,1224,other,female,-0.418,2.183,842,public,0.35,1.597,0,-0.428
S48,1288,other,female,-0.788,7.857,1855,public,0.27,0.174,0,0.128
S49,1288,minority,male,-0.328,10.171,1855,public,0.27,0.174,0,0.128
S50,1288,other,male,0.472,15.699,1855,public,0.27,0.174,0,0.128
S51,1288,other,female,0.352,22.919,1855,public,0.27,0.174,0,0.128
S52,1288,minority,female,-1.468,10.664,1855,public,0.27,0.174,0,0.128
S53,1288,other,female,0.202,13.543,1855,public,0.27,0.174,0,0.128
S54,1288,other,male,-0.518,18.207,1855,public,0.27,0.174,0,0.128
S55,1288,minority,male,-0.158,5.552,1855,public,0.27,0.174,0,0.128
S56,1288,other,male,0.042,7.416,1855,public,0.27,0.174,0,0.128
S57,1288,other,male,0.682,18.792,1855,public,0.27,0.174,0,0.128
S58,1288,other,male,1.262,1.575,1855,public,0.27,0.174,0,0.128
S59,1288,other,female,0.152,3.534,1855,public,0.27,0.174,0,0.128
S60,1288,other,female,-0.678,20.173,1855,public,0.27,0.174,0,0.128
S61,1288,other,female,0.332,10.772,1855,public,0.27,0.174,0,0.128
S62,1288,other,female,-0.728,2.619,1855,public,0.27,0.174,0,0.128
S63,1288,other,female,1.262,21.3,1855,public,0.27,0.174,0,0.128
S64,1288,other,male,0.612,19.527,1855,public,0.27,0.174,0,0.128
S65,1288,other,female,0.692,18.402,1855,public,0.27,0.174,0,0.128
S66,1288,other,female,1.082,20.69,1855,public,0.27,0.174,0,0.128
S67,1288,other,male,0.222,21.437,1855,public,0.27,0.174,0,0.128
S68,1288,other,male,0.032,7.519,1855,public,0.27,0.174,0,0.128
S69,1288,other,male,-0.118,18.397,1855,public,0.27,0.174,0,0.128
S70,1288,other,male,-0.488,4.617,1855,public,0.27,0.174,0,0.128
S71,1288,other,male,0.322,23.578,1855,public,0.27,0.174,0,0.128
S72,1288,other,male,0.592,12.81,1855,public,0.27,0.174,0,0.128
S73,1296,minority,female,-0.148,12.668,1719,public,0.32,-0.137,1,-0.42
S74,1296,minority,male,-0.858,0.781,1719,public,0.32,-0.137,1,-0.42
S75,1296,minority,female,-1.568,4.968,1719,public,0.32,-0.137,1,-0.42
S76,1296,minority,male,-0.898,23.172,1719,public,0.32,-0.137,1,-0.42
S77,1296,minority,female,-0.288,8.278,1719,public,0.32,-0.137,1,-0.42
S78,1296,minority,female,-1.088,6.244,1719,public,0.32,-0.137,1,-0.42
S79,1296,minority,female,-1.388,1.326,1719,public,0.32,-0.137,1,-0.42
S80,1296,minority,male,-1.148,2.359,1719,public,0.32,-0.137,1,-0.42
S81,1296,minority,female,-0.558,6.757,1719,public,0.32,-0.137,1,-0.42
S82,1296,minority,female,-0.698,6.251,1719,public,0.32,-0.137,1,-0.42
S83,1296,minority,female,0.142,3.404,1719,public,0.32,-0.137,1,-0.42
S84,1296,minority,male,0.522,22.201,1719,public,0.32,-0.137,1,-0.42
